"External Data Release (1=All, 2=Low Risk, 3=High Risk: Internal Use ONLY, 4=System Codes: Internal Use)","versionNbr (Form Version Number)","Data Set Variable Sequence","FormName","Field Name","Calculated/Created variable (1=yes)","Alias (Field Name description)","Data Type","Categorical Values","Categorical Definitions","Continous Range Min","Continous Range Max","fieldGUID (Field unique identifier)"
4,1,1,"Animal Training","participantGUID",,"Participant Unique ID","varchar",,,,,"C24D377C-6F8E-4701-96D2-46D9AF8FB5D5"
3,1,2,"Animal Training","d_visit",,"Date Completed","datetime",,,,,"C112B918-E301-451E-A665-2E75EFFCE088"
1,1,3,"Animal Training","days_visit",1,"[C] Day (in relation to arrival date) Completed","int",,,,,"C112B918-E301-451E-A665-2E75EFFCE088D"
1,1,4,"Animal Training","staffID",,"Staff ID","int",,,,,"69D44852-27BD-4F9D-BEC8-CE44BDAB590A"
4,1,5,"Animal Training","siteGUID",,"Site Unique ID","varchar",,,,,"BCDEF5C7-05BD-4BA0-B926-9B0A036F8619"
1,1,6,"Animal Training","siteID",,"Site Numeric ID","int","|910|930|940","|Joslin Diabetes Center|University of Florida|University of Iowa",,,"EC59665A-072A-489D-9895-1558E94987E9"
1,1,7,"Animal Training","pid",,"Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data","varchar",,,,,"61867240-0A49-4C41-8539-E2C0F7519E80"
4,1,8,"Animal Training","formGUID",,"Form Unique ID","varchar","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9",,,,"12860C5A-6A50-4BA4-A233-84FAF73A4A6E"
1,1,9,"Animal Training","FormName",,"Form Name","varchar","Animal Training",,,,"6FA1753B-16C1-4E2A-AC85-3650C559CB06"
4,1,10,"Animal Training","versionGUID",,"Version Unique ID","varchar","67328AAA-7A09-4E1F-A81A-B099B9270719",,,,"D5CFE626-4266-4AAF-99C1-A16152222CD0"
1,1,11,"Animal Training","versionNbr",,"Version Number","int",1,,,,"70659EEA-843C-4A5B-AD2D-51372072E271"
3,1,12,"Animal Training","day1date",,"Day 1 Date","datetime",,,,,"05C51190-4BD3-4D7C-AC8E-7EAAC2828DD6"
1,1,13,"Animal Training","day1_days",1,"[C] Day 1 Day (in relation to arrival date)","int",,,,,"05C51190-4BD3-4D7C-AC8E-7EAAC2828DD6D"
1,1,14,"Animal Training","day1time",,"Day 1 Time","varchar",,,,,"740DB203-A736-4C1D-AC73-3CFE6CE6160B"
1,1,15,"Animal Training","day1_treadmillspeed",,"Day 1 Treadmill Speed","numeric",,,,,"F0A3B016-7B2E-4C47-A903-AA284AD6730F"
1,1,16,"Animal Training","day1_treadmillincline",,"Day 1 Treadmill Incline","numeric",,,,,"C090B238-B42B-4949-9864-7EDEA89F8250"
1,1,17,"Animal Training","day1_timeontreadmill",,"Day 1 Time on Treadmill","int",,,,,"5F069376-1D7F-4FB8-9E2D-EFC4744CDF41"
1,1,18,"Animal Training","day1_weight",,"Day 1 Weight","numeric",,,,,"EC5572EA-7030-4C90-937B-F1BDF2707CDE"
1,1,19,"Animal Training","day1_posttrainlact",,"Day 1 Post-training Lactate","numeric",,,,,"4C3614BB-83A9-4ED5-94BB-CB294D897470"
1,1,20,"Animal Training","day1_score",,"Day 1 Score","int",,,1,4,"0027E233-56D3-4C6C-906F-66872806A0D9"
2,1,21,"Animal Training","day1_comments",,"Day 1 Comments","varchar(MAX)",,,,,"6091806F-91E8-4EE1-9569-C29106BFB29A"
3,1,22,"Animal Training","day2date",,"Day 2 Date","datetime",,,,,"F0CB661C-D396-4F5D-B201-7E3A57757E41"
1,1,23,"Animal Training","day2_days",1,"[C] Day 2 Day (in relation to arrival date)","int",,,,,"F0CB661C-D396-4F5D-B201-7E3A57757E41D"
1,1,24,"Animal Training","day2time",,"Day 2 Time","varchar",,,,,"E5515CD1-026A-4752-B10B-686E6B201B77"
1,1,25,"Animal Training","day2_treadmillspeed",,"Day 2 Treadmill Speed","numeric",,,,,"411D113E-2466-4957-AA82-54B44181770B"
1,1,26,"Animal Training","day2_treadmillincline",,"Day 2 Treadmill Incline","numeric",,,,,"B03A43D1-FDD0-4D9D-B1D1-6CE0A143C056"
1,1,27,"Animal Training","day2_timeontreadmill",,"Day 2 Time on Treadmill","int",,,,,"E17415DB-43A0-46F3-8AEF-6FAB67F7195D"
1,1,28,"Animal Training","day2_weight",,"Day 2 Weight","numeric",,,,,"A1C7C587-3F7D-4001-A375-9E4200238DD8"
1,1,29,"Animal Training","day2_posttrainlact",,"Day 2 Post-Training Lactate","numeric",,,,,"CAEA2944-A682-4864-BA48-3AB56F6643AF"
1,1,30,"Animal Training","day2_score",,"Day 2 Score","int",,,1,4,"8A81EF94-85C1-42B6-80A5-9FD6B2C347E8"
2,1,31,"Animal Training","day2_comments",,"Day 2 Comments","varchar(MAX)",,,,,"00B0469D-9BE4-45EE-8CCE-EDC4AADAC98F"
3,1,32,"Animal Training","day3date",,"Day 3 Date","datetime",,,,,"0DB75881-B58E-47D7-B788-53E24340A58A"
1,1,33,"Animal Training","day3_days",1,"[C] Day 3 Day (in relation to arrival date)","int",,,,,"0DB75881-B58E-47D7-B788-53E24340A58AD"
1,1,34,"Animal Training","day3time",,"Day 3 Time","varchar",,,,,"3D95BB13-3DE7-46F7-ADA2-38BCF7F75104"
1,1,35,"Animal Training","day3_treadmillspeed",,"Day 3 Treadmill Speed","numeric",,,,,"5C2B4652-3E75-4ABD-9C8D-70D4620EDE5D"
1,1,36,"Animal Training","day3_treadmillincline",,"Day 3 Treadmill Incline","numeric",,,,,"D34306E3-1FF0-4EDA-B117-B5E4E0E2B6BE"
1,1,37,"Animal Training","day3_timeontreadmill",,"Day 3 Time on Treadmill","int",,,,,"A7F84150-9623-492F-B77E-E0B92D182E90"
1,1,38,"Animal Training","day3_weight",,"Day 3 Weight","numeric",,,,,"C5A7E44A-43B2-42CD-B3B7-12204559DBEA"
1,1,39,"Animal Training","day3_posttrainlact",,"Day 3 Post-training Lactate","numeric",,,,,"86CF9750-F752-4CE5-899A-D1A13AC7D412"
1,1,40,"Animal Training","day3_score",,"Day 3 Score","int",,,1,4,"7EA33AC9-2743-4EC7-B1B3-C8E696B20A32"
2,1,41,"Animal Training","day3_comments",,"Day 3 Comments","varchar(MAX)",,,,,"A063862E-F68C-4E32-BFEE-AB7AC9F53829"
3,1,42,"Animal Training","day4date",,"Day 4 Date","datetime",,,,,"0AF6F6FE-33A8-4DF3-A433-6ADC8D2820D8"
1,1,43,"Animal Training","day4_days",1,"[C] Day 4 Day (in relation to arrival date)","int",,,,,"0AF6F6FE-33A8-4DF3-A433-6ADC8D2820D8D"
1,1,44,"Animal Training","day4time",,"Day 4 Time","varchar",,,,,"CD570A1B-389E-400B-8BE8-2A69FEC4ED17"
1,1,45,"Animal Training","day4_treadmillspeed",,"Day 4 Treadmill Speed","numeric",,,,,"2919D0AD-EDEF-4583-ACFB-A7E6E40B002F"
1,1,46,"Animal Training","day4_treadmillincline",,"Day 4 Treadmill Incline","numeric",,,,,"B88E6D84-92B8-4FDB-BE90-13A8BDDDA434"
1,1,47,"Animal Training","day4_timeontreadmill",,"Day 4 Time on Treadmill","int",,,,,"0876B436-B451-41F8-B2D9-78A8EBC92329"
1,1,48,"Animal Training","day4_weight",,"Day 4 Weight","numeric",,,,,"D356DA19-ABF1-4677-9BF0-C09AD8542FFA"
1,1,49,"Animal Training","day4_posttrainlact",,"Day 4 Post-training Lactate","numeric",,,,,"52C7B60B-FA60-44CE-BD1D-79D16CFA5896"
1,1,50,"Animal Training","day4_score",,"Day 4 Score","int",,,1,4,"F11BC6E1-78CE-4AB8-B728-BD22E117AF84"
2,1,51,"Animal Training","day4_comments",,"Day 4 Comments","varchar(MAX)",,,,,"EDEEB24C-85C3-47C2-8BE6-262B1FCF5553"
3,1,52,"Animal Training","day5date",,"Day 5 Date","datetime",,,,,"65782D71-DBE4-4542-9C08-B2C63542EDD3"
1,1,53,"Animal Training","day5_days",1,"[C] Day 5 Day (in relation to arrival date)","int",,,,,"65782D71-DBE4-4542-9C08-B2C63542EDD3D"
1,1,54,"Animal Training","day5time",,"Day 5 Time","varchar",,,,,"D0A6B0E7-23E5-41D8-AE51-FA970629ADE7"
1,1,55,"Animal Training","day5_treadmillspeed",,"Day 5 Treadmill Speed","numeric",,,,,"AE00F49C-942D-4E4A-8E50-DED5EC3E2121"
1,1,56,"Animal Training","day5_treadmillincline",,"Day 5 Treadmill Incline","numeric",,,,,"354C3406-6D33-4769-BBB4-8A0881E1FE7A"
1,1,57,"Animal Training","day5_timeontreadmill",,"Day 5 Time on Treadmill","int",,,,,"E391B50C-7111-4C65-B060-79C1A59A6365"
1,1,58,"Animal Training","day5_weight",,"Day 5 Weight","numeric",,,,,"B17324B5-C925-423E-A0B2-63D9F786DFB7"
1,1,59,"Animal Training","day5_posttrainlact",,"Day 5 Post-training Lactate","numeric",,,,,"0567370C-07A6-4E0C-BB65-024C0E40A106"
1,1,60,"Animal Training","day5_score",,"Day 5 Score","int",,,1,4,"139152DA-F169-4BD4-82A4-11539385FB6D"
2,1,61,"Animal Training","day5_comments",,"Day 5 Comments","varchar(MAX)",,,,,"7B07EFD2-5CA6-44AF-914A-015F82C7FCF2"
3,1,62,"Animal Training","day6date",,"Day 6 Date","datetime",,,,,"5FFD7DB4-B0B8-47B6-B419-5702291B7E96"
1,1,63,"Animal Training","day6_days",1,"[C] Day 6 Day (in relation to arrival date)","int",,,,,"5FFD7DB4-B0B8-47B6-B419-5702291B7E96D"
1,1,64,"Animal Training","day6time",,"Day 6 Time","varchar",,,,,"DBDC7E43-33C8-4185-B25F-065F888D6572"
1,1,65,"Animal Training","day6_treadmillspeed",,"Day 6 Treadmill Speed","numeric",,,,,"888ABE0B-7F69-4B70-B409-CE18F483D3AD"
1,1,66,"Animal Training","day6_treadmillincline",,"Day 6 Treadmill Incline","numeric",,,,,"112DACAC-D901-4CE6-84B3-27FF952325E3"
1,1,67,"Animal Training","day6_timeontreadmill",,"Day 6 Time on Treadmill","int",,,,,"5401ECB8-513D-46F8-8129-7A46C9A17D4F"
1,1,68,"Animal Training","day6_weight",,"Day 6 Weight","numeric",,,,,"263C8DB1-8100-4A41-B695-E5DBAB5BC0FB"
1,1,69,"Animal Training","day6_posttrainlact",,"Day 6 Post-training Lactate","numeric",,,,,"96F3B083-F86D-4570-8A3B-4292416C438E"
1,1,70,"Animal Training","day6_score",,"Day 6 Score","int",,,1,4,"D24E274A-EBEF-4337-A8BB-38ABACBEBE83"
2,1,71,"Animal Training","day6_comments",,"Day 6 Comments","varchar(MAX)",,,,,"980E864C-6664-42CD-A27B-D92A1FF37B81"
3,1,72,"Animal Training","day7date",,"Day 7 Date","datetime",,,,,"7A1F8F65-A43E-48A3-8006-96C6808D960D"
1,1,73,"Animal Training","day7_days",1,"[C] Day 7 Day (in relation to arrival date)","int",,,,,"7A1F8F65-A43E-48A3-8006-96C6808D960DD"
1,1,74,"Animal Training","day7time",,"Day 7 Time","varchar",,,,,"ED257B3F-531C-4C2A-BF70-C1090C94FD14"
1,1,75,"Animal Training","day7_treadmillspeed",,"Day 7 Treadmill Speed","numeric",,,,,"A73792AE-1E38-48E0-A4C7-20F33674A2FE"
1,1,76,"Animal Training","day7_treadmillincline",,"Day 7 Treadmill Incline","numeric",,,,,"6F3982A9-0419-4AE7-8E6A-62E850CE82B2"
1,1,77,"Animal Training","day7_timeontreadmill",,"Day 7 Time on Treadmill","int",,,,,"C39F1AF1-7B18-4AC2-9665-F0C357848D2E"
1,1,78,"Animal Training","day7_weight",,"Day 7 Weight","numeric",,,,,"F159831D-0629-48D4-B43F-720D20BB3C93"
1,1,79,"Animal Training","day7_posttrainlact",,"Day 7 Post-training Lactate","numeric",,,,,"CCBAF4B7-8730-4BCE-B7B0-C774585B990F"
1,1,80,"Animal Training","day7_score",,"Day 7 Score","int",,,1,4,"E83C6EA6-F71C-481B-906A-6DF74EB5D9A2"
2,1,81,"Animal Training","day7_comments",,"Day 7 Comments","varchar(MAX)",,,,,"A32D9600-B9F4-442E-BD06-A3836B0FD29F"
3,1,82,"Animal Training","day8date",,"Day 8 Date","datetime",,,,,"7341469B-B849-46CC-A8E7-75B0F78ADA26"
1,1,83,"Animal Training","day8_days",1,"[C] Day 8 Day (in relation to arrival date)","int",,,,,"7341469B-B849-46CC-A8E7-75B0F78ADA26D"
1,1,84,"Animal Training","day8time",,"Day 8 Time","varchar",,,,,"09B2B1B7-FA54-472D-83A5-F81190DF0DFB"
1,1,85,"Animal Training","day8_treadmillspeed",,"Day 8 Treadmill Speed","numeric",,,,,"7A55FF64-C1C1-4DC1-980A-7E6F51E2687F"
1,1,86,"Animal Training","day8_treadmillincline",,"Day 8 Treadmill Incline","numeric",,,,,"58DC713B-B2A4-48D7-9A37-A35D44EABC1C"
1,1,87,"Animal Training","day8_timeontreadmill",,"Day 8 Time on Treadmill","int",,,,,"C7DC9498-05F8-4DC5-AD66-5F4449CAEA01"
1,1,88,"Animal Training","day8_weight",,"Day 8 Weight","numeric",,,,,"140DA8F7-3D94-4419-A2C4-6105629568D8"
1,1,89,"Animal Training","day8_posttrainlact",,"Day 8 Post-training Lactate","numeric",,,,,"0EC431FF-E3F3-4E30-9618-7F2EF7B48E21"
1,1,90,"Animal Training","day8_score",,"Day 8 Score","int",,,1,4,"278A8BB9-F650-42B2-BB2F-D902D43C917F"
2,1,91,"Animal Training","day8_comments",,"Day 8 Comments","varchar(MAX)",,,,,"8B126234-3238-43CE-B2A2-954C4D445A2C"
3,1,92,"Animal Training","day9date",,"Day 9 Date","datetime",,,,,"0C628F23-5A19-42D6-90E9-E5F578765AF6"
1,1,93,"Animal Training","day9_days",1,"[C] Day 9 Day (in relation to arrival date)","int",,,,,"0C628F23-5A19-42D6-90E9-E5F578765AF6D"
1,1,94,"Animal Training","day9time",,"Day 9 Time","varchar",,,,,"4D3F596A-E6ED-49F0-B22F-D54190805664"
1,1,95,"Animal Training","day9_treadmillspeed",,"Day 9 Treadmill Speed","numeric",,,,,"21AF327A-C763-4EB8-AB32-958604B5EDF1"
1,1,96,"Animal Training","day9_treadmillincline",,"Day 9 Treadmill Incline","numeric",,,,,"DD66B6BA-845B-48FC-B68F-53DA7F18A3F8"
1,1,97,"Animal Training","day9_timeontreadmill",,"Day 9 Time on Treadmill","int",,,,,"304ABFBB-55C2-4312-8264-8AF5B23EF1BE"
1,1,98,"Animal Training","day9_weight",,"Day 9 Weight","numeric",,,,,"6F96D9EE-F379-4398-9929-7C4DA83DBFDD"
1,1,99,"Animal Training","day9_posttrainlact",,"Day 9 Post-training Lactate","numeric",,,,,"39F7B584-A2EA-4E95-B7EE-B9C8D397E590"
1,1,100,"Animal Training","day9_score",,"Day 9 Score","int",,,1,4,"89DFF9C0-ED44-434A-A773-7E990F7EA686"
2,1,101,"Animal Training","day9_comments",,"Day 9 Comments","varchar(MAX)",,,,,"622F4295-CF61-4CAF-80AF-D0082B53C07E"
3,1,102,"Animal Training","day10date",,"Day 10 Date","datetime",,,,,"004C590A-A85C-4CF8-9A1C-2490BBCEBAAA"
1,1,103,"Animal Training","day10_days",1,"[C] Day 10 Day (in relation to arrival date)","int",,,,,"004C590A-A85C-4CF8-9A1C-2490BBCEBAAAD"
1,1,104,"Animal Training","day10time",,"Day 10 Time","varchar",,,,,"5FCCA281-A60E-45B9-9FD6-E651AD9B4508"
1,1,105,"Animal Training","day10_treadmillspeed",,"Day 10 Treadmill Speed","numeric",,,,,"4CAD807C-30A1-4520-8593-8F1A2C03BDE1"
1,1,106,"Animal Training","day10_treadmillincline",,"Day 10 Treadmill Incline","numeric",,,,,"00DE323C-D4DC-4935-A536-FF48F1E16DCA"
1,1,107,"Animal Training","day10_timeontreadmill",,"Day 10 Time on Treadmill","int",,,,,"C7C66CF2-4E6B-40F7-9BE3-17314DBA012B"
1,1,108,"Animal Training","day10_weight",,"Day 10 Weight","numeric",,,,,"4CE3B225-CD13-4BDF-851A-4FE4E2541739"
1,1,109,"Animal Training","day10_posttrainlact",,"Day 10 Post-training Lactate","numeric",,,,,"6A3AC9E0-ECD2-44A3-B623-94A8A28EC389"
1,1,110,"Animal Training","day10_score",,"Day 10 Score","int",,,1,4,"87DEF247-2F47-4E56-9173-B961B91BBF2C"
2,1,111,"Animal Training","day10_comments",,"Day 10 Comments","varchar(MAX)",,,,,"962DA950-8FE1-4831-9D49-6B7CA64E0C2F"
3,1,112,"Animal Training","day11date",,"Day 11 Date","datetime",,,,,"03098A43-B6DE-44F1-A4B9-735C8027A687"
1,1,113,"Animal Training","day11_days",1,"[C] Day 11 Day (in relation to arrival date)","int",,,,,"03098A43-B6DE-44F1-A4B9-735C8027A687D"
1,1,114,"Animal Training","day11time",,"Day 11 Time","varchar",,,,,"B30D9830-F024-4AEF-9C07-BA449FA9DF3C"
1,1,115,"Animal Training","day11_treadmillspeed",,"Day 11 Treadmill Speed","numeric",,,,,"0F4E42DD-C392-4C91-9709-4E1DB4A23AB6"
1,1,116,"Animal Training","day11_treadmillincline",,"Day 11 Treadmill Incline","numeric",,,,,"39AF4C5D-BF31-4D30-BA15-CDFB9DE3467F"
1,1,117,"Animal Training","day11_timeontreadmill",,"Day 11 Time on Treadmill","int",,,,,"4EE545C5-0995-4786-8E88-8AF092868683"
1,1,118,"Animal Training","day11_weight",,"Day 11 Weight","numeric",,,,,"D729D556-0635-4C1D-A301-7BFC169D317B"
1,1,119,"Animal Training","day11_posttrainlact",,"Day 11 Post-training Lactate","numeric",,,,,"7CB60486-9637-454B-9CD7-558611DCC404"
1,1,120,"Animal Training","day11_score",,"Day 11 Score","int",,,1,4,"977686A3-9383-4D23-AA16-B56FBA80DBFB"
2,1,121,"Animal Training","day11_comments",,"Day 11 Comments","varchar(MAX)",,,,,"19323526-3A8A-4BCE-A5A1-F8EB884D1ECE"
3,1,122,"Animal Training","day12date",,"Day 12 Date","datetime",,,,,"0919B9FB-97C2-4E49-89C5-B9BA2E0535F6"
1,1,123,"Animal Training","day12_days",1,"[C] Day 12 Day (in relation to arrival date)","int",,,,,"0919B9FB-97C2-4E49-89C5-B9BA2E0535F6D"
1,1,124,"Animal Training","day12time",,"Day 12 Time","varchar",,,,,"0D052B83-52BF-49A7-96FF-103F311FB2BC"
1,1,125,"Animal Training","day12_treadmillspeed",,"Day 12 Treadmill Speed","numeric",,,,,"7499DCD0-74F6-46C4-94F4-43AE406617DB"
1,1,126,"Animal Training","day12_treadmillincline",,"Day 12 Treadmill Incline","numeric",,,,,"93D8C784-A241-42A1-AE6E-5A23E96C5CDA"
1,1,127,"Animal Training","day12_timeontreadmill",,"Day 12 Time on Treadmill","int",,,,,"A60AE4F5-DB26-48FA-814C-AFFD029D0833"
1,1,128,"Animal Training","day12_weight",,"Day 12 Weight","numeric",,,,,"E0EBC1DD-5C3C-449F-AA82-64C3F2FE346A"
1,1,129,"Animal Training","day12_posttrainlact",,"Day 12 Post-training Lactate","numeric",,,,,"5B9CA1A6-ABC5-47AF-A281-BD867F447E45"
1,1,130,"Animal Training","day12_score",,"Day 12 Score","int",,,1,4,"F182C76D-AB75-4B48-849A-117846D7AE83"
2,1,131,"Animal Training","day12_comments",,"Day 12 Comments","varchar(MAX)",,,,,"03FE7327-1FEE-42FB-A4EB-169C6836338E"
3,1,132,"Animal Training","day13date",,"Day 13 Date","datetime",,,,,"6F5501D1-6BF3-44D4-B1A0-EDC59BF87F1E"
1,1,133,"Animal Training","day13_days",1,"[C] Day 13 Day (in relation to arrival date)","int",,,,,"6F5501D1-6BF3-44D4-B1A0-EDC59BF87F1ED"
1,1,134,"Animal Training","day13time",,"Day 13 Time","varchar",,,,,"81D08FFF-A39D-4D9E-A053-7F66031C8333"
1,1,135,"Animal Training","day13_treadmillspeed",,"Day 13 Treadmill Speed","numeric",,,,,"C90F3C48-9BC6-4345-B1F0-C078B4CC5A10"
